|FY16 solitary ALOS|FY17 solitary ALOS|FY18 solitary ALOS|FY16 solitary count|FY17 solitary count|FY18 solitary count|FY17_solitary_ADP
LEXINSC|||||||
LINCOMO|||||||
LINNJIA|||||||
LONPDAR|||||||
LOSHOLD|||||||
LRDICDF|||||||
LRKNHFL|||||||
LSRDCTX|||||||
LUBBOTX|||||||
MANHOLD|||||||
MARIOIN|||||||
MARSHIA||26.0||0.0|6.0|0.0|0.4438356164383562
MCHENIL|8.125|25.875|20.428571428571427|8.0|8.0|8.0|0.589041095890411
MECKLNC|||||||
MEMHOLD|||||||
MILLRAR|||||||
MINICID|||||||
MNROEMI|||||||
MNTGMAL|||||||
MOFFECO|||||||
MONROFL||18.0|25.0|0.0|7.0|1.0|0.3643835616438356
MONROMI|||||||
MONTGMO|||||||
MONTGTX||47.0|23.428571428571427|0.0|2.0|7.0|0.07397260273972603
MORGNMO|||||||
MOROWOH|||7.0|0.0|0.0|1.0|0.0
MSF|||||||
MUSIKCA|||||||
NATROWY|||||||
NBRMCFL|||||||
NEWHOLD|||||||
NOBLEMN|||||||
NOLHOLD|||||||
NORCOOR|||60.75|0.0|0.0|4.0|0.0
NVJDCVA|||||||
NVSDCNV||45.583333333333336|27.0|0.0|12.0|4.0|1.5123287671232877
NWHNVNC|||||||
NYCHOLD|||||||
OCIRCCA|||||||
OLDHAKY|||||||
ORANGFL|||||||
ORANGNY|25.0|27.636363636363637|14.0|3.0|11.0|1.0|0.8438356164383561
OTROPNM|||||||
OTRPCNM|25.0|21.75|31.4|6.0|28.0|5.0|1.704109589041096
PENNISD|||||||
PHELPNE|||||||
PHOHOLD|||||||
PIC|20.0|15.8|31.0|2.0|30.0|8.0|1.2410958904109588
PIKCOPA|33.45454545454545|27.15625|32.55172413793103|33.0|64.0|36.0|5.476712328767123
PINELFL|||||||
PINEPLA|41.983333333333334|43.05084745762712|27.441860465116278|60.0|59.0|46.0|6.676712328767123
PLATTMO|||||||
PLATTWY|||||||
PLYMOMA|32.5|18.0||6.0|2.0|0.0|0.10410958904109589
PMHOSFL|||||||
POLKCTX|||5.0|0.0|0.0|6.0|0.0
POLKJIA||17.0||0.0|1.0|0.0|0.049315068493150684
POTTAIA|14.0|||1.0|0.0|0.0|0.0
PULASIL|27.928571428571427|16.235294117647058||14.0|17.0|0.0|0.9780821917808219
QLTYSCA|||||||
RAADCMN|||||||
RCMHOLD|||||||
RGRNDTX|6.653846153846154|||26.0|0.0|0.0|0.0
RIIHOLD|||||||
RIOCCCA|66.61538461538461|42.31578947368421|54.5|13.0|19.0|8.0|2.4136986301369863
RNDLLTX|||||||
ROCKIIL|||||||
ROCKIVA|||||||
RONKEVA|||||||
SACHOLD|||||||
SACITCA|33.833333333333336|19.75||36.0|4.0|0.0|1.1369863013698631
SALEMNJ|||||||
SANJAIL|||||||
SBDHOLD|||||||
SEAHOLD|||||||
SEBASAR|||||||
SENECOH|67.84615384615384|37.857142857142854|30.8|13.0|7.0|5.0|1.7452054794520548
SFRHOLD|||||||
SHACOKS|||||||
SHERBMN|25.4|41.74418604651163|23.789473684210527|25.0|43.0|19.0|4.380821917808219
SJS|||||||
SLRDCAZ|||||||
SLSLCUT|||||||
SNAHOLD|||||||
SNDHOLD|||||||
SPMHOLD|||||||
SPRNGOR|||||||
STCDFTX|22.128712871287128|19.198019801980198|23.141176470588235|101.0|101.0|88.0|5.843835616438356
STCLAMI|26.0|16.6|108.0|5.0|5.0|1.0|0.3013698630136986
STFRCTX|||||||
STK|||||||
STMARCA|||||||
STRAFNH|||||||
STTAMLA|||||||
STUHOLD|||||||
STWRTGA|17.07027027027027|17.683333333333334|19.864864864864863|185.0|240.0|189.0|11.923287671232877
SUFFOMA|37.42857142857143|22.285714285714285|34.4|7.0|14.0|5.0|0.873972602739726
SWEETWY|||||||
TAMHOLD|||||||
TELLECO|||||||
TETONWY|||||||
TGREETX|||||||
TLACYCA|59.5|22.181818181818183|21.1875|4.0|33.0|16.0|1.906849315068493
TNWESDF|||||||
TOOELUT|||||||
TOOLEMT|||||||
TOORANM||17.0||0.0|1.0|0.0|0.049315068493150684
TUCHOLD|||||||
TULCOOK||30.0||0.0|2.0|0.0|0.16986301369863013
UTAHCUT|67.11111111111111|||9.0|0.0|0.0|0.18356164383561643
VALVETX|||||||
VBHOSTX|||||||
VENHOLD|||||||
VISTACA|||||||
VPREGVA|23.0|51.46153846153846|48.0|3.0|13.0|2.0|1.4493150684931506
VRK|||||||
VTCHTDN|||||||
VTSTALB|||||||
VVGMCCA|||||||
WACLATX|||||||
WAKECNC|||||||
WAKULFL|1.0|||1.0|0.0|0.0|0.0
WASHCUT||22.666666666666668|42.0|0.0|3.0|1.0|0.15342465753424658
WASHOLD|||||||
WASHONV|||||||
WCCPBFL|||||||
WCRDFTX|||||||
WHITFGA|||||||
WMHOSCA|||||||
WORCEMD|56.0|||10.0|0.0|0.0|0.1095890410958904
WTREGVA|||||||
WTXDFTX|47.0|11.0||1.0|2.0|0.0|0.06575342465753424
WVEASTR|||||||
WVNORTH|||||||
WVSCENT|||5.0|0.0|0.0|1.0|0.0
YAKHOLD|||||||
YAVCVAZ|||||||
YELLOMT|||||||
YIKIMWA|||||||
YORCOPA|21.53030303030303|17.991525423728813|19.746835443037973|66.0|118.0|80.0|5.909589041095891
YORCOSC|||||||
YUBAJCA|71.19047619047619|74.14285714285714|24.88888888888889|21.0|28.0|10.0|6.191780821917808
